Name,Longitude,Latitude
Rapa Nui National Park,-109.45,-27.15
Historic Quarter of the Seaport City of Valparaso,-71.628,-33.04063889
Churches of Chilo,-73.76666667,-42.5
Humberstone and Santa Laura Saltpeter Works,-69.79406,-20.20582
Sewell Mining Town,-70.38277778,-34.08444444
Mount Taishan,117.1,36.26667
The Great Wall,116.08333,40.41667
Imperial Palaces of the Ming and Qing Dynasties in Beijing and Shenyang,123.4469444,41.79416667
Mogao Caves,94.81667,40.13333
Mausoleum of the First Qin Emperor,109.1,34.38333333
Peking Man Site at Zhoukoudian,115.9166667,39.73333333
Mount Huangshan,118.18333,30.16667
Jiuzhaigou Valley Scenic and Historic Interest Area,103.91667,33.08333
Huanglong Scenic and Historic Interest Area,103.82222,32.75417
Wulingyuan Scenic and Historic Interest Area,110.5,29.33333
"Mountain Resort and its Outlying Temples, Chengde",117.93833,40.98694
Temple and Cemetery of Confucius and the Kong Family Mansion in Qufu,116.975,35.61167
Ancient Building Complex in the Wudang Mountains,111,32.46667
"Historic Ensemble of the Potala Palace, Lhasa",91.11717,29.65792
Lushan National Park,115.8666667,29.43333333
"Mount Emei Scenic Area, including Leshan Giant Buddha Scenic Area",103.76925,29.5449
Old Town of Lijiang,100.23333,26.86667
Ancient City of Ping Yao,112.15444,37.20139
Classical Gardens of Suzhou,120.45,31.31666667
"Summer Palace, an Imperial Garden in Beijing",116.1411111,39.91055556
Temple of Heaven an Imperial Sacrificial Altar in Beijing,116.4447222,39.84555556
Mount Wuyi,117.68333,27.71667
Dazu Rock Carvings,105.705,29.70111
Mount Qingcheng and the Dujiangyan Irrigation System,103.60528,31.00167
Ancient Villages in Southern Anhui Xidi and Hongcun,117.9875,29.90444444
Longmen Grottoes,112.4666667,34.46666667
Imperial Tombs of the Ming and Qing Dynasties,124.7938889,41.70722222
Yungang Grottoes,113.12222,40.10972
Three Parallel Rivers of Yunnan Protected Areas,98.40638889,27.895
Historic Centre of Macao,113.5364611,22.19129194
Cultural Landscape of Honghe Hani Rice Terraces ,102.7799806,23.09327778
Kaiping Diaolou and Villages,112.5658611,22.28551944
Fujian emTulouem,117.6858333,25.02305556
Yin Xu,114.3138889,36.12666667
Capital Cities and Tombs of the Ancient Koguryo Kingdom,126.1872222,41.15694444
"Sichuan Giant Panda Sanctuaries - Wolong, Mt Siguniang and Jiajin Mountains ",103,30.83333333
South China Karst,110.3544444,24.92333333
Mount Wutai,113.5633333,39.03055556
Mount Sanqingshan National Park,118.0644444,28.91583333
Historic Monuments of Dengfeng in The Centre of Heaven and Earth,113.0677194,34.45874722
West Lake Cultural Landscape of Hangzhou,120.1408333,30.2375
China Danxia,106.0425,28.42194444
Chengjiang Fossil Site,102.9772222,24.66888889
Site of Xanadu,116.1851278,42.358
Xinjiang Tianshan,80.35416667,41.96833333
The Grand Canal,112.4683333,34.69388889
Tusi Sites,109.9669444,28.99861111
"Port, Fortresses and Group of Monuments, Cartagena",-75.53333333,10.41666667
Los Katos National Park,-77,7.666666667
Historic Centre of Santa Cruz de Mompox,-74.43333333,9.233333333
National Archeological Park of Tierradentro,-76.03333333,2.583333333
San Agustn Archaeological Park,-76.23333333,1.916666667
Coffee Cultural Landscape of Colombia,-75.68166667,5.471666667
Malpelo Fauna and Flora Sanctuary,-81.61666667,3.966666667
Cocos Island National Park,-87.06666667,5.533333333
Precolumbian Chiefdom Settlements with Stone Spheres of the Diqus,-83.4775,8.911388889
Historic Town of Grand-Bassam,3.736388889,5.195833333
Old City of Dubrovnik,18.09139,42.65056
Historical Complex of Split with the Palace of Diocletian,16.44333,43.50944
Plitvice Lakes National Park,15.61444,44.87778
Episcopal Complex of the Euphrasian Basilica in the Historic Centre of Pore,13.59444,45.22917
Historic City of Trogir,16.25167,43.5125
The Cathedral of St James in ibenik,15.89038,43.73629
Stari Grad Plain,16.63861111,43.18166667
Viales Valley,-83.71667,22.61667
"San Pedro de la Roca Castle, Santiago de Cuba",-75.87083333,19.96666667
Desembarco del Granma National Park,-77.63333,19.88333
Urban Historic Centre of Cienfuegos ,-80.45278,22.14722
Historic Centre of Camagey,-77.91861111,21.37861111
Paphos,32.40556,34.75833
Choirokoitia,33.34333,34.79833
Historic Centre of Prague,14.41944,50.08972
Historic Centre of esk Krumlov,14.31666667,48.81666667
Historic Centre of Tel,15.45,49.18333
Pilgrimage Church of St John of Nepomuk at Zelen Hora,15.94205833,49.5802
Kutn Hora Historical Town Centre with the Church of St Barbara and the Cathedral of Our Lady at Sedlec,15.26666667,49.95
Lednice-Valtice Cultural Landscape,16.775,48.77583
Holy Trinity Column in Olomouc,17.25045833,49.59393611
Gardens and Castle at Krom,17.37722222,49.3
Holaovice Historic Village,14.25277778,48.95972222
Litomyl Castle,16.31444,49.87361
Tugendhat Villa in Brno,16.61605556,49.20718333
Jewish Quarter and St Procopius Basilica in Teb,15.87888889,49.21722222
Complex of Koguryo Tombs,125.415,38.86305556
Historic Monuments and Sites in Kaesong,126.5080556,37.98166667
Virunga National Park,29.16666667,0.916666667
Garamba National Park,29.25,4
Kahuzi-Biega National Park,28.75,-2.5
Salonga National Park,21,-2
Okapi Wildlife Reserve,28.5,2
Roskilde Cathedral,12.07972222,55.64222222
Kronborg Castle,12.62083333,56.03889
"Jelling Mounds, Runic Stones and Church",9.42,55.75638889
Ilulissat Icefjord,-49.5,69.13333333
Stevns Klint,12.42333333,55.26722222
"Christiansfeld, a Moravian Church Settlement",9.481388889,55.35555556
The par force hunting landscape in North Zealand,12.35777778,55.91361111
Morne Trois Pitons National Park,-61.28333333,15.26666667
City of Quito,-78.5,-0.003888889
Historic Centre of Santa Ana de los Ros de Cuenca,-78.98333333,-2.883333333
Memphis and its Necropolis the Pyramid Fields from Giza to Dahshur,31.13041,29.97604
Ancient Thebes with its Necropolis,32.6,25.73333
Nubian Monuments from Abu Simbel to Philae,31.62611,22.33639
Historic Cairo,31.26111,30.05
Abu Mena,29.66666667,30.85
Saint Catherine Area,33.97543,28.55623
Joya de Cern Archaeological Site,-89.36916667,13.8275
Historic Centre (Old Town) of Tallinn,24.73333333,59.43333
Simien National Park,38.06666667,13.18333333
Lower Valley of the Awash,40.57939,11.10006
Tiya,38.6121,8.43491
Aksum,38.71861,14.13019
Lower Valley of the Omo,35.96666667,4.8
"Rock-Hewn Churches, Lalibela",39.04042,12.02935
"Fasil Ghebbi, Gondar Region",37.46617,12.60692
"Harar Jugol, the Fortified Historic Town",42.13777778,9.308888889
Konso Cultural Landscape,37.4,5.3
Levuka Historical Port Town,178.8345333,-17.68337778
Bronze Age Burial Site of Sammallahdenmki,21.7775,61.12056
Old Rauma,21.51167,61.12806
Mont-Saint-Michel and its Bay,-1.51056,48.63556
Chartres Cathedral,1.487222222,48.4475
Palace and Park of Versailles,2.119444444,48.805
"Vzelay, Church and Hill",3.748333333,47.46638889
Prehistoric Sites and Decorated Caves of the Vzre Valley,1.17,45.0575
Palace and Park of Fontainebleau,2.698055556,48.40194444
Amiens Cathedral,2.301666667,49.895
"Roman Theatre and its Surroundings and the ""Triumphal Arch"" of Orange",4.808416667,44.13572222
"Arles, Roman and Romanesque Monuments",4.630694444,43.67763889
Cistercian Abbey of Fontenay,4.38911,47.63944
"From the Great Saltworks of Salins-les-Bains to the Royal Saltworks of Arc-et-Senans, the Production of Open-pan Salt ",5.876388889,46.9375
"Historic Centre of Avignon Papal Palace, Episcopal Ensemble and Avignon Bridge",4.806111111,43.95277778
"Place Stanislas, Place de la Carrire and Place dAlliance in Nancy",6.183333333,48.69361111
Abbey Church of Saint-Savin sur Gartempe,0.86611,46.56472
"Gulf of Porto Calanche of Piana, Gulf of Girolata, Scandola Reserve",8.628833333,42.32519444
Pont du Gard (Roman Aqueduct),4.535277778,43.94722222
Historic Fortified City of Carcassonne,2.358888889,43.21055556
Strasbourg Grande le,7.73,48.58138889
"Paris, Banks of the Seine",2.294166667,48.85833333
"Cathedral of Notre-Dame, Former Abbey of Saint-Rmi and Palace of Tau, Reims",4.032777778,49.25333333
Bourges Cathedral,2.398333333,47.08222222
Canal du Midi,1.416388889,43.61138889
Routes of Santiago de Compostela in France,0.722944444,45.18405556
Historic Site of Lyons,4.83333,45.76722
"Provins, Town of Medieval Fairs",3.298888889,48.55972222
Jurisdiction of Saint-Emilion,-0.155277778,44.89472222
The Loire Valley between Sully-sur-Loire and Chalonnes,0.70278,47.39889
Lagoons of New Caledonia Reef Diversity and Associated Ecosystems,164.5663889,-20.41194444
"The Causses and the Cvennes, Mediterranean agro-pastoral Cultural Landscape",3.473055556,44.22027778
"Le Havre, the City Rebuilt by Auguste Perret",0.1075,49.49278
"Bordeaux, Port of the Moon",-0.572222222,44.83888889
Fortifications of Vauban,2.758888889,50.2825
"Pitons, cirques and remparts of Reunion Island",55.48,-21.09944444
Episcopal City of Albi,2.1425,43.92833333
Nord-Pas de Calais Mining Basin,3.546111111,50.4625
"Climats, terroirs of Burgundy",4.864444444,47.05805556
"Decorated Cave of Pont dArc, known as Grotte Chauvet-Pont dArc, Ardche",4.416111111,44.3875
"Champagne Hillsides, Houses and Cellars",3.946111111,49.0775
Ecosystem and Relict Cultural Landscape of Lop-Okanda,11.5,-0.5
Kunta Kinteh Island and Related Sites,-16.35719444,13.31616667
Historical Monuments of Mtskheta,44.71639,41.84389
Upper Svaneti,43.01139,42.91639
Bagrati Cathedral and Gelati Monastery,42.71639,42.26222
Aachen Cathedral ,6.084444444,50.77444444
Speyer Cathedral,8.443055556,49.31666667
Wrzburg Residence with the Court Gardens and Residence Square,9.93889,49.79278
St Marys Cathedral and St Michaels Church at Hildesheim,9.94389,52.15278
Pilgrimage Church of Wies,10.90013889,47.68127778
Hanseatic City of Lbeck,10.69167,53.86667
Castles of Augustusburg and Falkenlust at Brhl,6.909777778,50.82502778
Cologne Cathedral,6.957222222,50.94111111
"Roman Monuments, Cathedral of St Peter and Church of Our Lady in Trier",6.633333333,49.75
Abbey and Altenmnster of Lorsch,8.56858,49.65369
Palaces and Parks of Potsdam and Berlin,13.03333333,52.4
Garden Kingdom of Dessau-Wrlitz,12.42083,51.8425
"Collegiate Church, Castle and Old Town of Quedlinburg",11.15,51.78333
Maulbronn Monastery Complex,8.81306,49.00083
"Mines of Rammelsberg, Historic Town of Goslar and Upper Harz Water Management System",10.34,51.82
Town of Bamberg,10.88888889,49.89166667
Vlklingen Ironworks,6.85,49.24444
Messel Pit Fossil Site,8.75389,49.91667
Bauhaus and its Sites in Weimar and Dessau,11.32949,50.97477
Luther Memorials in Eisleben and Wittenberg,12.65278,51.86472
Classical Weimar,11.32861,50.9775
"Museumsinsel (Museum Island), Berlin",13.39861111,52.51972222
Wartburg Castle,10.307,50.96677778
Monastic Island of Reichenau,9.061305556,47.69872222
Zollverein Coal Mine Industrial Complex in Essen,7.046111111,51.49138889
Upper Middle Rhine Valley,7.694166667,50.17361111
Historic Centres of Stralsund and Wismar,13.08527778,54.3025
Town Hall and Roland on the Marketplace of Bremen,8.807472222,53.07597222
Old town of Regensburg with Stadtamhof,12.09916667,49.02055556
Berlin Modernism Housing Estates,13.45,52.44833333
Fagus Factory in Alfeld,9.811111111,51.98361111
Margravial Opera House Bayreuth,11.57861111,49.94444444
Bergpark Wilhelmshhe,9.393055556,51.31583333
Carolingian Westwork and Civitas Corvey,9.41025,51.77827778
Speicherstadt and Kontorhaus District with Chilehaus,9.999444444,53.54555556
Asante Traditional Buildings,-1.625833333,6.401111111
Temple of Apollo Epicurius at Bassae,21.89694,37.43498
Archaeological Site of Delphi,22.49617,38.48149
"Acropolis, Athens",23.72618,37.97087
Mount Athos,24.21667,40.26667
Meteora,21.63333,39.71667
Paleochristian and Byzantine Monuments of Thessalonika,22.965,40.63833
Sanctuary of Asklepios at Epidaurus,23.11666667,37.66666667
Medieval City of Rhodes,28.22778,36.44722
Archaeological Site of Mystras,22.36667,37.08056
Archaeological Site of Olympia,21.66666667,37.65
Delos,25.26667,37.4
"Monasteries of Daphni, Hosios Loukas and Nea Moni of Chios",22.75,38.4
Pythagoreion and Heraion of Samos,26.94333,37.69083
Archaeological Site of Aigai (modern name Vergina),22.31833,40.47139
Archaeological Sites of Mycenae and Tiryns,22.75,37.73333333
The Historic Centre (Chor) with the Monastery of Saint-John the Theologian and the Cave of the Apocalypse on the Island of Ptmos,26.55,37.3
Old Town of Corfu,19.9275,39.62394139
Tikal National Park,-89.61666667,17.21666667
Antigua Guatemala,-90.66666667,14.56666667
Archaeological Park and Ruins of Quirigua,-89.04025,15.27059
"National History Park Citadel, Sans Souci, Ramiers",-72.24417,19.57361
Vatican City,12.45736,41.90216
Maya Site of Copan,-89.13333,14.85
Ro Pltano Biosphere Reserve,-84.675,15.74444444
"Budapest, including the Banks of the Danube, the Buda Castle Quarter and Andrssy Avenue",19.07067,47.48242
Old Village of Hollk and its Surroundings,19.52917,47.99444
Hortobgy National Park - the iPusztai,21.15678,47.59458
Millenary Benedictine Abbey of Pannonhalma and its Natural Environment,17.78444,47.55889
Early Christian Necropolis of Pcs (Sopianae),18.22778,46.07444
Tokaj Wine Region Historic Cultural Landscape,21.35,48.15
ingvellir National Park,-21.03725,64.25380556
Surtsey,-20.60222222,63.30305556
Red Fort Complex,77.24083333,28.65555556
"Humayuns Tomb, Delhi",77.25056,28.59333
"Qutb Minar and its Monuments, Delhi",77.18528,28.52583
Churches and Convents of Goa,73.91167,15.50222
Group of Monuments at Pattadakal,75.81667,15.94833
Khajuraho Group of Monuments,79.92222,24.85222
Group of Monuments at Hampi,76.47167,15.31444
Ajanta Caves,75.7,20.55333
Ellora Caves,75.17917,20.02639
Elephanta Caves,72.93583,18.96667
"Sun Temple, Konrak",86.09472,19.8875
Hill Forts of Rajasthan,74.64611111,24.88333333
Group of Monuments at Mahabalipuram,80.19167,12.61667
Great Living Chola Temples,79.1325,10.78305556
Agra Fort,78.03333333,27.18333333
Taj Mahal,78.04222,27.17417
Fatehpur Sikri,77.66417,27.09444
Nanda Devi and Valley of Flowers National Parks ,79.66667,30.71667
Kaziranga National Park,93.41666667,26.66666667
Manas Wildlife Sanctuary,91.03055556,26.725
Keoladeo National Park,77.50861111,27.15888889
Buddhist Monuments at Sanchi,77.73972,23.47944
"Rani-ki-Vav (the Queens Stepwell) at Patan, Gujarat",72.10166667,23.85888889
Rock Shelters of Bhimbetka,77.58333333,22.92777778
Mountain Railways of India,76.93583,11.51028
Chhatrapati Shivaji Terminus (formerly Victoria Terminus),72.83620278,18.94012222
Mahabodhi Temple Complex at Bodh Gaya,84.99389,24.69528
Champaner-Pavagadh Archaeological Park,73.53333333,22.48333333
"The Jantar Mantar, Jaipur",75.825,26.92472222
Western Ghats,77.24972222,8.529722222
Great Himalayan National Park Conservation Area,77.58333333,31.83333333
Borobudur Temple Compounds,110.20361,-7.60778
Sangiran Early Man Site,110.8166667,-7.4
Ujung Kulon National Park,105.3333333,-6.75
Prambanan Temple Compounds,110.49167,-7.75222
Cultural Landscape of Bali Province the emSubakem System as a Manifestation of the emTri Hita Karanaem Philosophy,115.4027778,-8.259166667
Tchogha Zanbil,48.53333333,32.0833
Persepolis,52.89028,29.93444
"Meidan Emam, Esfahan",51.67777778,32.65745
Takht-e Soleyman,47.235,36.60388889
Pasargadae,53.16729,30.19383
Soltaniyeh,48.79667,36.43528
Bam and its Cultural Landscape,58.36666667,29.11683
Bisotun,47.43666667,34.38833333
Armenian Monastic Ensembles of Iran,45.47333333,38.97888889
Shushtar Historical Hydraulic System,48.83583333,32.01861111
Sheikh Safi al-din Khnegh and Shrine Ensemble in Ardabil,48.29138889,38.24861111
Tabriz Historic Bazaar Complex,46.29305556,38.08138889
The Persian Garden,53.16666667,30.16666667
Masjed-e Jm of Isfahan ,51.68527778,32.66972222
Gonbad-e Qbus,55.169,37.25802778
Golestan Palace,51.42051111,35.68036667
Cultural Landscape of Maymand,55.37555556,30.16805556
Susa,48.25611111,32.18944444
Shahr-i Sokhta,61.32777778,30.59388889
Samarra Archaeological City,43.82354306,34.34098944
Hatra,42.71833,35.58806
Ashur (Qalat Sherqat),43.25972,35.45889
Erbil Citadel,44.00916667,36.19111111
Br na Binne - Archaeological Ensemble of the Bend of the Boyne,-6.45,53.69167
Masada,35.35275,31.3135
Old City of Acre,35.08388889,32.92833333
White City of Tel-Aviv -- the Modern Movement,34.78333333,32.06666667
Incense Route - Desert Cities in the Negev,35.16083,30.54111
"Biblical Tels - Megiddo, Hazor, Beer Sheba",35.18222,32.59722
Bahi Holy Places in Haifa and the Western Galilee,34.97164889,32.82939667
Caves of Maresha and Bet-Guvrin in the Judean Lowlands as a Microcosm of the Land of the Caves,34.89555556,31.6
Sites of Human Evolution at Mount Carmel The Nahal Mearot Wadi el-Mughara Caves,34.96527778,32.67
Necropolis of Bet Shearim A Landmark of Jewish Renewal,35.12694444,32.70222222
Church and Dominican Convent of Santa Maria delle Grazie with The Last Supper by Leonardo da Vinci,9.1705,45.46588889
Rock Drawings in Valcamonica,10.29733333,45.95705556
Historic Centre of Florence,11.25611,43.77306
Medici Villas and Gardens in Tuscany,11.30416667,43.85777778
Venice and its Lagoon,12.33894444,45.43430556
"Piazza del Duomo, Pisa",10.39638889,43.72305556
Castel del Monte,16.27094444,41.08480556
"18th-Century Royal Palace at Caserta with the Park, the Aqueduct of Vanvitelli, and the San Leucio Complex",14.32639,41.07333
Historic Centre of San Gimignano,11.04167,43.46806
The Sassi and the Park of the Rupestrian Churches of Matera,16.61027778,40.66638889
City of Vicenza and the Palladian Villas of the Veneto,11.54944444,45.54916667
Historic Centre of Siena,11.33166667,43.31861111
Historic Centre of Naples,14.26277778,40.85138889
Crespi dAdda,9.53833,45.59333
"Ferrara, City of the Renaissance, and its Po Delta",11.61944444,44.83777778
The ITrulliI of Alberobello,17.23694,40.7825
Early Christian Monuments of Ravenna,12.19625,44.42041667
Historic Centre of the City of Pienza,11.67861111,43.07694444
City of Verona,10.99388889,45.43861111
Residences of the Royal House of Savoy,7.68572,45.07253
"Botanical Garden (Orto Botanico), Padua",11.88066667,45.39911111
Archaeological Area and the Patriarchal Basilica of Aquileia,13.3675,45.76833333
"Portovenere, Cinque Terre, and the Islands (Palmaria, Tino and Tinetto)",9.72917,44.10694
"Cathedral, Torre Civica and Piazza Grande, Modena",10.92568,44.64624
Historic Centre of Urbino,12.63333,43.725
"Archaeological Areas of Pompei, Herculaneum and Torre Annunziata",14.48333333,40.75
Costiera Amalfitana,14.6,40.65
Archaeological Area of Agrigento,13.59333333,37.28972222
Villa Romana del Casale,14.33417,37.36611
Su Nuraxi di Barumini,8.991388889,39.70583333
"Cilento and Vallo di Diano National Park with the Archeological Sites of Paestum and Velia, and the Certosa di Padula",15.26666667,40.28333333
Villa Adriana (Tivoli),12.77197222,41.94416667
Isole Eolie (Aeolian Islands),14.94558333,38.48786111
"Assisi, the Basilica of San Francesco and Other Franciscan Sites",12.62244444,43.06616667
Late Baroque Towns of the Val di Noto (South-Eastern Sicily),15.06891667,36.89319444
"Villa dEste, Tivoli",12.79625,41.96391667
Val dOrcia,11.55,43.06666667
ISacri MontiI of Piedmont and Lombardy,9.169555556,45.97455556
Etruscan Necropolises of Cerveteri and Tarquinia,12.10188889,42.00683333
Syracuse and the Rocky Necropolis of Pantalica,15.29306,37.05944
Genoa iLe Strade Nuovei and the system of thei Palazzi dei Rollii,8.931111111,44.41222222
The Dolomites,12.16305556,46.61305556
Mantua and Sabbioneta,10.79444444,45.15944444
Longobards in Italy. Places of the Power (568-774 A.D.),13.43305556,46.09416667
Vineyard Landscape of Piedmont Langhe-Roero and Monferrato,7.963611111,44.60861111
Mount Etna,14.99666667,37.75611111
Arab-Norman Palermo and the Cathedral Churches of Cefal and Monreale,13.35305556,38.11083333
Blue and John Crow Mountains ,-76.57111111,18.0775
Buddhist Monuments in the Horyu-ji Area,135.7333333,34.61666667
Himeji-jo,134.7,34.83333333
Yakushima,130.5333333,30.33333333
Shirakami-Sanchi,140.13,40.47
"Historic Monuments of Ancient Kyoto (Kyoto, Uji and Otsu Cities)",135.7694444,34.98055556
Historic Villages of Shirakawa-go and Gokayama,136.8833333,36.4
Hiroshima Peace Memorial (Genbaku Dome),132.45,34.38333333
Itsukushima Shinto Shrine,132.3246389,34.29441667
Historic Monuments of Ancient Nara,135.8394444,34.67555556
Shrines and Temples of Nikko,139.6105556,36.7475
Gusuku Sites and Related Properties of the Kingdom of Ryukyu,127.6827778,26.20861111
Sacred Sites and Pilgrimage Routes in the Kii Mountain Range,135.7763889,33.83694444
Shiretoko,144.96583,43.94944
Iwami Ginzan Silver Mine and its Cultural Landscape,132.435,35.11277778
"Hiraizumi Temples, Gardens and Archaeological Sites Representing the Buddhist Pure Land",141.1077778,39.00111111
Ogasawara Islands,142.0997222,27.71833333
"Fujisan, sacred place and source of artistic inspiration",138.7275,35.36083333
Tomioka Silk Mill and Related Sites,138.8877778,36.25527778
"Sites of Japans Meiji Industrial Revolution Iron and Steel, Shipbuilding and Coal Mining",131.4122222,34.43055556
Old City of Jerusalem and its Walls,35.21666667,31.78333333
Petra,35.44333,30.33056
Quseir Amra,36.58583,31.80194
Um er-Rasas (Kastrom Mefaa),35.92056,31.50167
Wadi Rum Protected Area,35.43388889,29.63972222
Baptism Site Bethany Beyond the Jordan (Al-Maghtas),35.55277778,31.83722222
Saryarka Steppe and Lakes of Northern Kazakhstan,69.18888889,50.43333333
Mausoleum of Khoja Ahmed Yasawi,68.27444444,43.29305556
